"316","405","8",".3","","","Bischoff, Kat., [vol. 3]."
"48","410","8","17","","","Bischoff, Kat., 17."
"61","415","8","45","197","","Bischoff, Kat., no. 197."
"93","418","8","","831","","Bischoff, Kat., no. 831."
"122","430","8","","1323","","Bischoff, Kat., no. 1323."
"146","435","8","","1606","","Bischoff, Kat., no. 1606."
"209","439","8","","2375","","Bischoff, Kat., no. 2375."
"517","442","2","37","","","Ker 1947, 37."
"508","443","1","127","831.2","","Gneuss, Handlist, no. 831.2."
"219","444","8","","2509","","Bischoff, Kat., no. 2509."
"227","449","8","","2608","","Bischoff, Kat., no. 2608."
"230","450","8","","2614","","Bischoff, Kat., no. 2614."
"281","456","8","","3678","","Bischoff, Kat., no. 3678."
"289","457","8","","3783","","Bischoff, Kat., no. 3783."
"337","466","8",".3","","","Bischoff, Kat., [vol. 3]."
"338","467","8",".3","","","Bischoff, Kat., [vol. 3]."
"339","471","8",".3","","","Bischoff, Kat., [vol. 3]."
"341","472","8",".3","","","Bischoff, Kat., [vol. 3]."
"333","474","8",".3","","","Bischoff, Kat., [vol. 3]."
"334","475","8",".3","","","Bischoff, Kat., [vol. 3]."
"335","476","8",".3","","","Bischoff, Kat., [vol. 3]."
"336","477","8",".3","","","Bischoff, Kat., [vol. 3]."
"384","478","8",".3","","","Bischoff, Kat., [vol. 3]."
"369","481","8",".3","","","Bischoff, Kat., [vol. 3]."
"460","483","26",".5","","","Derolez 2003, Pl. 50."
"436","492","8",".3","","","Bischoff, Kat., [vol. 3]."
"454","496","8",".3","","","Bischoff, Kat., [vol. 3]."
"156","497","8","","1725","","Bischoff, Kat., no. 1725."
"58","502","8","","162","","Bischoff, Kat., no. 162."
"59","503","8","","163","","Bischoff, Kat., no. 163."
"69","506","8","","402","","Bischoff, Kat., no. 402."
"97","514","8","","II.885.5","","Bischoff, Kat., no. II.885.5."
"271","515","8","","3584","","Bischoff, Kat., no. 3584."
"101","516","8","","1875","","Bischoff, Kat., no. 1875."
"145","528","8","","1605","","Bischoff, Kat., no. 1605."
"152","529","8","","1672","","Bischoff, Kat., no. 1672."
"169","533","8","","2068","","Bischoff, Kat., no. 2068."
"170","534","8","","2069","","Bischoff, Kat., no. 2069."
"220","540","8","","2510","","Bischoff, Kat., no. 2510."
"248","549","8","","3149","","Bischoff, Kat., no. 3149."
"258","550","8","","3263","","Bischoff, Kat., no. 3263."
"280","553","8","","3677","","Bischoff, Kat., no. 3677."
"343","571","8",".3","","","Bischoff, Kat., [vol. 3]."
"342","573","8",".3","","","Bischoff, Kat., [vol. 3]."
"363","575","8",".3","","","Bischoff, Kat., [vol. 3]."
"366","576","8",".3","","","Bischoff, Kat., [vol. 3]."
"385","579","8",".3","","","Bischoff, Kat., [vol. 3]."
"386","580","8",".3","","","Bischoff, Kat., [vol. 3]."
"405","583","8",".3","","","Bischoff, Kat., [vol. 3]."
"411","587","8",".3","","","Bischoff, Kat., [vol. 3]."
"417","590","8",".3","","","Bischoff, Kat., [vol. 3]."
"437","592","8",".3","","","Bischoff, Kat., [vol. 3]."
"442","594","8",".3","","","Bischoff, Kat., [vol. 3]."
"104","616","8","","1918","","Bischoff, Kat., no. 1918."
