"57","23","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"58","24","Expositio Actuum Apostolorum","1","","","","","","","","1"
"59","24","In epistulas VII catholicas","7","","","","","","","","1"
"60","25","Expositio Actuum Apostolorum","1","","","","","","","","1"
"61","25","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"62","26","Expositio Actuum Apostolorum","1","","","","","","","","1"
"63","26","Expositio Apocalypseos","4","","","","","","","","1"
"64","26","In epistulas VII catholicas","7","","","","","","","","1"
"65","27","Expositio Actuum Apostolorum","1","","","","","","","","1"
"66","27","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"67","28","Expositio Actuum Apostolorum","1","","","","","","","","1"
"68","28","Expositio Apocalypseos","4","","","","","","","","1"
"69","28","In epistulas VII catholicas","7","","","","","","","","1"
"70","29","Expositio Actuum Apostolorum","1","","","","","","","","1"
"71","29","In epistulas VII catholicas","7","fols. 53V-145V","","","","","","","1"
"72","30","Expositio Actuum Apostolorum","1","","","","","","","","1"
"73","30","Expositio Apocalypseos","4","","","","","","","","1"
"74","30","In epistulas VII catholicas","7","","","","","","","","1"
"75","30","In Marci euangelium expositio","15","","","","","","","","1"
"76","31","Expositio Actuum Apostolorum","1","","","","","","","","1"
"77","32","Expositio Actuum Apostolorum","1","","","","","","","","1"
"78","32","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"79","33","Expositio Actuum Apostolorum","1","","","","","","","","1"
"80","33","In Marci euangelium expositio","15","fols. 41-146","","","","","","","1"
"81","34","Expositio Actuum Apostolorum","1","","","","","","","","1"
"82","34","In epistulas VII catholicas","7","fols. 153-222","","","","","","","1"
"83","34","In Cantica Canticorum","5","fols. 2-98","","","","","","","1"
"84","34","In librum beati patris Tobiae ","24","fols. 252-257v","","","","","","","1"
"85","35","Expositio Actuum Apostolorum","1","","","","","","","","1"
"86","35","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"87","36","Expositio Actuum Apostolorum","1","","","","","","2","","1"
"88","37","Expositio Actuum Apostolorum","1","","","","","","","","1"
"89","38","Expositio Actuum Apostolorum","1","","","","","","","","1"
"90","39","Expositio Actuum Apostolorum","1","","","","","","","","1"
"91","39","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"92","40","Expositio Actuum Apostolorum","1","","","","","","","","1"
"93","40","Expositio Apocalypseos","4","pp. 142-300","","","","","","","1"
"94","41","Expositio Actuum Apostolorum","1","","","","","","","","1"
"95","42","Expositio Actuum Apostolorum","1","","","","","","","","1"
"96","43","Expositio Actuum Apostolorum","1","","","","","","","","1"
"97","43","In epistulas VII catholicas","7","","","","","","","","1"
"98","44","Expositio Actuum Apostolorum","1","","","","","","","","1"
"99","44","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"100","45","Expositio Actuum Apostolorum","1","","","","","","","","1"
"101","46","Expositio Actuum Apostolorum","1","","","","","","","","1"
"102","47","Expositio Actuum Apostolorum","1","","","","","","","","1"
"103","48","Expositio Actuum Apostolorum","1","","","","","","","","1"
"104","48","In Lucae euangelium expositio","14","","","","","","","","1"
"105","48","De tabernaculo","22","","","","","","","","1"
"106","49","Expositio Actuum Apostolorum","1","","","","","","","","1"
"107","50","Expositio Actuum Apostolorum","1","","","","","","","","1"
"108","50","Collectio ex opusculis s. Augustini in epistulas Pauli","6","","","","","","","","1"
"109","50","Expositio Apocalypseos","4","","","","","","","","1"
"110","51","Expositio Actuum Apostolorum","1","","","","","","","","1"
"111","51","Chronica maiora","38","fols. 1-10","","","","","","","1"
"112","52","Expositio Actuum Apostolorum","1","","","","","","","","1"
"113","53","Expositio Actuum Apostolorum","1","","","","","","","","1"
"114","54","Expositio Actuum Apostolorum","1","","","","","","","","1"
"115","54","Expositio Apocalypseos","4","fols. 51v-112","","","","","","","1"
"116","55","Expositio Actuum Apostolorum","1","","","","","","","","1"
"117","56","Expositio Actuum Apostolorum","1","","","","","","","","1"
"118","56","In epistulas VII catholicas","7","","","","","","","","1"
"119","57","Expositio Actuum Apostolorum","1","","","","","","","","1"
"120","57","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"121","57","Expositio Apocalypseos","4","fols. 3-60","","","","","","","1"
"122","58","Expositio Actuum Apostolorum","1","","","","","","","","1"
"123","58","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"124","58","Expositio Apocalypseos","4","fols. 69v-119","","","","","","","1"
"125","59","Expositio Actuum Apostolorum","1","","","","","","","","1"
"126","59","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"127","59","In Lucae euangelium expositio","14","","","","","","","","1"
