id,work,text_type,excluded?,repo_id,shelfmark,notes,citation,support,length,numbered_by,,,blank,binding,fragment?,,,dating,cent_begin,cent_end,year_begin,year_end,origin_country,origin_place,provenance,intials,timestamp,,,lk_entry,sm_alpha_part,sm_num_part,sm_suffix,sm_joined,lk_pages,references,locale_opinions
16,Exp.Act.apost.,,,132,174,,"Einsiedeln, Stiftsbibliothek, 174",,,,,,,,,10,31,s. x,10,10,901,1000,,,,,7/20/2012 12:10:49,2,0,"Einsiedeln, Stiftsbibliothek, 174 (s. x).",,174,,174,"21, 148",,
17,Exp.Act.apost.,,,133,Dep. Erf. CA. 4° 92,,"Erfurt, Universitäts- und Forschungsbibliothek Erfurt/Gotha, Dep. Erf. CA. 4° 92",,,,,,,,,15,94,s. xv (1),15,15,1401,1450,,,,,7/25/2012 13:20:16,3,0,"Erfurt, Universitäts- und Forschungsbibliothek Erfurt/Gotha, Dep. Erf. CA. 4° 92 (s. xv1).",Dep. Erf. CA. 4°,92,,Dep. Erf. CA. 4° 92,"21, 32, 63",,Wijssen; Wijssen
18,Exp.Act.apost.,,,134,Perg. 74,,"Erlangen, Universitätsbibliothek Erlangen-Nürnberg, Perg. 74",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:19,2,0,"Erlangen, Universitätsbibliothek Erlangen-Nürnberg, Perg. 74 (s. xii).",Perg.,74,,Perg. 74,"21, 32",,
19,Exp.Act.apost.,,,56,XVI 7,,"Florence, Biblioteca Medicea Laurenziana, XVI 7",,,,,,,,,15,55,s. xii and s. xv,12,15,1101,1500,,,,,7/20/2012 14:13:19,3,0,"Florence, Biblioteca Medicea Laurenziana, XVI 7 (s. xii).",XVI,7,,XVI 7,"21, 27, 32",,
20,Exp.Act.apost.,,,56,XVI 9,,"Florence, Biblioteca Medicea Laurenziana, XVI 9",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 14:41:47,5,0,"Florence, Biblioteca Medicea Laurenziana, XVI 9 (s. xv).",XVI,9,,XVI 9,"21, 27, 32, 71, 76",,
21,Exp.Act.apost.,,,56,Amiat. 3,,"Florence, Biblioteca Medicea Laurenziana, Amiat. 3",,,,,,,,,10,31,s. x,10,10,901,1000,,,,,7/20/2012 14:13:19,1,0,"Florence, Biblioteca Medicea Laurenziana, Amiat. 3 (s. x).",Amiat.,3,,Amiat. 3,21,,
22,Exp.Act.apost.,,,165,21,,"Geneva, Bibliothèque de Genève, 21",,,,,,,,,9,18,s. viii-ix,8,9,776,825,,,,,7/20/2012 12:10:49,1,0,"Geneva, Bibliothèque de Genève, 21 (s. viii-ix).",,21,,21,21,"Bischoff, Kat., no. 1346.",Murbach (Reichenau)
23,Exp.Act.apost.,,,2,Hunt. V. 5. 8,,"Glasgow, University Library, Hunt. V. 5. 8",,,,,,,,,1213,66,s. xii-xiii,12,13,1176,1225,,,,,7/25/2012 14:07:45,2,0,"Glasgow, University Library, Hunt. V. 5. 8 (s. xii-xiii).",Hunt. V. 5.,8,,Hunt. V. 5. 8,"21, 23",,
24,Exp.Act.apost.,,,57,Memb. I 45 (olim 84),,"Gotha, Forschungsbibliothek, Memb. I 45 (olim 84)",,207,,,,,,,9,24,s. ixmed,9,9,826,875,,,,,7/26/2012 19:22:08,2,0,"Gotha, Forschungsbibliothek, Memb. I 45 (olim 84) (s. ixmed).",Memb. I,45,(olim 84),Memb. I 45 (olim 84),"21, 33","Bischoff, Kat., no. 1420 and II.1420.",
25,Exp.Act.apost.,,,58,237,,"Heiligenkreuz, Stiftsbibliothek, 237",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,2,0,"Heiligenkreuz, Stiftsbibliothek, 237 (s. xii).",,237,,237,"21, 23",,
