id,work,text_type,excluded?,repo_id,shelfmark,notes,citation,support,length,numbered_by,,,blank,binding,fragment?,,,dating,cent_begin,cent_end,year_begin,year_end,origin_country,origin_place,provenance,intials,timestamp,,,lk_entry,sm_alpha_part,sm_num_part,sm_suffix,sm_joined,lk_pages,references,locale_opinions
698,Comm.Prouerb.DMF.,,,10,Arundel 74,,"London, British Library, Arundel 74",,,,,,,,,14,79,s. xiv,14,14,1301,1400,,,,,7/20/2012 14:07:20,2,0,"London, British Library, Arundel 74 (s. xiv).",Arundel,74,,Arundel 74,"61, 97",,
699,Comm.Prouerb.DMF.,,,10,Lansdowne 374,,"London, British Library, Lansdowne 374",,,,,,,,,,,,,,,,,,,,7/20/2012 14:07:46,1,0,"London, British Library, Lansdowne 374 ().",Lansdowne,374,,Lansdowne 374,61,,
700,Comm.Prouerb.DMF.,,,176,380,,"London, Lambeth Palace Library, 380",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"London, Lambeth Palace Library, 380 (s. xii).",,380,,380,61,,
701,Comm.Prouerb.DMF.,,,194,6 (2/225 B),,"Mons, Bibliothèque municipale, 6 (2/225 B)",,fols. 98-107,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:35:03,1,0,"Mons, Bibliothèque municipale, 6 (2/225 B) (s. xii).",,6,(2/225 B),6 (2/225 B),62,,
702,Comm.Prouerb.DMF.,,,81,lat. 14489,,"Paris, Bibliothèque nationale de France, lat. 14489",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:25,1,0,"Paris, Bibliothèque nationale de France, lat. 14489 (s. xii).",lat.,14489,,lat. 14489,62,,St Victor
703,Comm.Prouerb.DMF.,,,94,lat. 1040,,"Vienna, Österreichische Nationalbibliothek, lat. 1040",,fols. 65v-71v,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:26:52,1,0,"Vienna, Österreichische Nationalbibliothek, lat. 1040 (s. xii).",lat.,1040,,lat. 1040,62,,
704,Comm.Quaest.Reg.,,,18,17,,"Avranches, Bibliothèque municipale, 17",,fols. 29-30,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,2,0,"Avranches, Bibliothèque municipale, 17 (s. xiii).",,17,,17,"62, 79",,Mont St Michel?; Mont St Michel?
705,Comm.Quaest.Reg.,,,18,109,,"Avranches, Bibliothèque municipale, 109",,fol. 74,,,,,,,1012,31,s. x,10,12,901,1200,,,,,7/20/2012 12:10:49,1,0,"Avranches, Bibliothèque municipale, 109 (s. x).",,109,,109,62,,Mont St Michel?
706,Comm.Quaest.Reg.,,,34,22,,"Bruges, Openbare bibliotheek, 22",,fols. 143-1591,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,3,0,"Bruges, Openbare bibliotheek, 22 (s. xiii).",,22,,22,"62, 79, 157",,Ste Marie de Thosan; Ste Marie de Thosan; Ste Marie de Thosan
707,Comm.Quaest.Reg.,,,34,34,,"Bruges, Openbare bibliotheek, 34",,fols. 126-141,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,3,0,"Bruges, Openbare bibliotheek, 34 (s. xiii).",,34,,34,"62, 79, 157",,Ste Marie de Thosan; Ste Marie de Thosan; Ste Marie de Thosan
708,Comm.Quaest.Reg.,,,149,364,,"Cambrai, Bibliothèque municipale, 364",,fols. 100v-113,,,,,,,1112,54,s. xi-xii,11,12,1076,1125,,,,,7/20/2012 12:10:49,5,0,"Cambrai, Bibliothèque municipale, 364 (s. xi-xii).",,364,,364,"62, 71, 75, 79, 157",,Chapter library; Chapter library; Chapter library; Chapter library; Chapter library
711,Comm.Quaest.Reg.,,,37,70,,"Chartres, Bibliothèque municipale, 70",,fols. 83v~96v,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 12:10:49,2,0,"Chartres, Bibliothèque municipale, 70 (s. ix).",,70,,70,"63, 140",,Chapter library
712,Comm.Quaest.Reg.,,,51,325,,"Douai, Bibliothèque municipale, 325",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,2,0,"Douai, Bibliothèque municipale, 325 (s. xii).",,325,,325,"63, 65",,Anchin; Anchin
713,Comm.Quaest.Reg.,,,161,19,,"Épernay, Bibliothèque municipale, 19",,fols. 48-63,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 12:10:49,5,0,"Épernay, Bibliothèque municipale, 19 (s. xii2).",,19,,19,"63, 76, 79, 84, 157",,Hautvillers; Hautvillers; Hautvillers; Hautvillers; Hautvillers
715,Comm.Quaest.Reg.,,,169,130 E 15 (olim 165),,"Hague, The, Koninklijke Bibliotheek, 130 E 15 (olim 165)",,,folios,,,,,,89,19,s. ix,9,9,801,866,France,Flavigny?,,,7/24/2012 15:06:50,1,0,"Hague, The, Koninklijke Bibliotheek, 130 E 15 (olim 165) (s. ix, Flavigny?).",,13015,(olim 165),130 E 15 (olim 165),63,,France; Flavigny?; St Benin
716,Comm.Quaest.Reg.,,,177,306A,Grandjean (1875) 85 and 150.,"Liège, Bibliothèque de l’Université, 306A",parchment,113,,1,18-20,,,,9,23,s. ix2/4,9,9,830,834,Belgium,St. Trond,,,7/24/2012 15:06:37,1,0,"Liège, Bibliothèque de l’Université, 306A (s. ix2/4, St. Trond).",,306,,306A,63,"Bischoff, Kat., no. 2528.",Belgium; St. Trond; St Trond
717,Comm.Quaest.Reg.,,,10,Harley 3091,,"London, British Library, Harley 3091",,,,,,,,,9,22,s. ix1,9,9,801,850,,,,,7/20/2012 14:13:21,5,0,"London, British Library, Harley 3091 (s. ix1).",Harley,3091,,Harley 3091,"63, 121, 141, 146, 149",,Nevers; Nevers; Nevers
719,Comm.Quaest.Reg.,,,10,Royal 5. D. x,,"London, British Library, Royal 5. D. x",,,,,,,,,13,75,s. xiii (2),13,13,1251,1300,,,,,7/24/2012 15:06:26,2,0,"London, British Library, Royal 5. D. x (s. xiii2).",Royal,5,D. x,Royal 5. D. x,"63, 76",,Ramsey; Ramsey
721,Comm.Quaest.Reg.,,,191,462,,"Lyons, Bibliothèque municipale, 462",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 12:10:49,1,0,"Lyons, Bibliothèque municipale, 462 (s. ix1).",,462,,462,63,"Bischoff, Kat., no. 2554.",Chapter library
722,Comm.Quaest.Reg.,,,193,400,Destroyed in WWII.,"Metz, Bibliothèque municipale, 400",,,,,,,,,10,31,s. x,10,10,901,1000,France,Metz,,,7/20/2012 12:10:49,2,0,"Metz, Bibliothèque municipale, 400 (s. x, Metz).",,400,,400,"63, 76",,France; Metz; St Arnulf; St Arnulf
723,Comm.Quaest.Reg.,,,67,Clm 5122,,"Munich, Bayerische Staatsbibliothek, Clm 5122",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:23,1,0,"Munich, Bayerische Staatsbibliothek, Clm 5122 (s. xii).",Clm,5122,,Clm 5122,63,,Beurberg
724,Comm.Quaest.Reg.,,,67,Clm 6318,,"Munich, Bayerische Staatsbibliothek, Clm 6318",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:13:23,2,0,"Munich, Bayerische Staatsbibliothek, Clm 6318 (s. xi).",Clm,6318,,Clm 6318,"63, 76",,Freising; Freising
725,Comm.Quaest.Reg.,,,67,Clm 12626,,"Munich, Bayerische Staatsbibliothek, Clm 12626",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:09:02,3,0,"Munich, Bayerische Staatsbibliothek, Clm 12626 (s. xii).",Clm,12626,,Clm 12626,"63, 72, 80",,Ranshofen; Ranshofen; Ranshofen
726,Comm.Quaest.Reg.,,,67,Clm 13501,,"Munich, Bayerische Staatsbibliothek, Clm 13501",,,,,,,,,14,79,s. xiv,14,14,1301,1400,,,,,7/20/2012 14:13:23,3,0,"Munich, Bayerische Staatsbibliothek, Clm 13501 (s. xiv).",Clm,13501,,Clm 13501,"63, 80, 110",,"St Blasius, Regensburg; St Blasius, Regensburg; Dominicans, Regensburg"
727,Comm.Quaest.Reg.,,,67,Clm 14754,,"Munich, Bayerische Staatsbibliothek, Clm 14754",,,,,,,,,910,30,s. ix-x,9,10,876,925,,,,,7/20/2012 14:09:10,1,0,"Munich, Bayerische Staatsbibliothek, Clm 14754 (s. ix-x).",Clm,14754,,Clm 14754,63,"Bischoff, Kat., no. 3261.",St Emmeram
731,Comm.Quaest.Reg.,,,126,53,,"Oxford, Jesus College, 53",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,2,0,"Oxford, Jesus College, 53 (s. xii).",,53,,53,"64, 66",,Cirencester; Cirencester
733,Comm.Quaest.Reg.,,,81,lat. 70,,"Paris, Bibliothèque nationale de France, lat. 70",,,,,,,,,14,79,s. xiv,14,14,1301,1400,,,,,7/20/2012 14:13:26,2,0,"Paris, Bibliothèque nationale de France, lat. 70 (s. xiv).",lat.,70,,lat. 70,"64, 158",,Foucarmont; Foucarmont
734,Comm.Quaest.Reg.,,,81,lat. 528,,"Paris, Bibliothèque nationale de France, lat. 528",,,,,,,,,9,20,s. ix (in),9,9,801,825,,,,,7/18/2012 17:31:08,1,0,"Paris, Bibliothèque nationale de France, lat. 528 (s. ixin).",lat.,528,,lat. 528,64,,Limoges
735,Comm.Quaest.Reg.,,,81,lat. 2165,,"Paris, Bibliothèque nationale de France, lat. 2165",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/18/2012 17:31:14,3,0,"Paris, Bibliothèque nationale de France, lat. 2165 (s. xiii).",lat.,2165,,lat. 2165,"64, 77, 157",,
737,Comm.Quaest.Reg.,,,81,lat. 2428,,"Paris, Bibliothèque nationale de France, lat. 2428",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/18/2012 17:31:21,1,0,"Paris, Bibliothèque nationale de France, lat. 2428 (s. xii).",lat.,2428,,lat. 2428,64,,Limoges
741,Comm.Quaest.Reg.,,,95,266,,"St. Gall, Stiftsbibliothek, lat. 266",,,,,,,,,9,22,s. ix (1),9,9,801,850,Switzerland,St. Gall,,,11/28/2014 10:45:44,3,0,"St. Gall, Stiftsbibliothek, lat. 266 (s. ix1, St. Gall).",lat.,266,,lat. 266,"64, 73, 77","Bischoff, Kat., [vol. 3].",Switzerland; St. Gall; St Gall; St Gall; St Gall
743,Comm.Quaest.Reg.,,,203,27,,"Valenciennes, Bibliothèque municipale, 27",,,,,,,,,15,98,s. xv (3/4),15,15,1464,1464,,,,,7/20/2012 12:10:49,5,0,"Valenciennes, Bibliothèque municipale, 27 (s. xv3/4).",,27,,27,"64, 74, 77, 82, 157",,Carthusians near Utrecht; St Amand; St Amand; St Amand; St Amand
744,Comm.Quaest.Reg.,,,109,Pal. lat. 276,,"Vatican City, Vatican Library, Pal. lat. 276",,,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Pal. lat. 276 (s. ix).",Pal. lat.,276,,Pal. lat. 276,64,,Lorsch
745,Comm.Quaest.Reg.,,,94,lat. 685,,"Vienna, Österreichische Nationalbibliothek, lat. 685",,fols. 179v-189v,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:26:52,1,0,"Vienna, Österreichische Nationalbibliothek, lat. 685 (s. xii).",lat.,685,,lat. 685,64,,
746,Comm.Quaest.Reg.,,,94,lat. 716,,"Vienna, Österreichische Nationalbibliothek, lat. 716",,fols. 111-121v,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:29,1,0,"Vienna, Österreichische Nationalbibliothek, lat. 716 (s. xii).",lat.,716,,lat. 716,64,,
747,Comm.Quaest.Reg.,,,205,Rhen. 73,,"Zurich, Zentralbibliothek, Rhen. 73",,,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 14:14:32,1,0,"Zurich, Zentralbibliothek, Rhen. 73 (s. ix).",Rhen.,73,,Rhen. 73,64,"Bischoff, Kat., [vol. 3].",Rheinau
748,Comm.Quaest.Reg.,,,184,,,"Turin, Biblioteca Nazionale Universitaria, ",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/24/2012 14:23:36,1,0,"Turin, Biblioteca Nazionale Universitaria,  (s. xii).",,,,,65,,
749,Comm.Quaest.Reg.,,,11,1075 (olim Phillipps 2067; Barrois 78),,"New Haven, Yale University, Beinecke Library, 1075 (olim Phillipps 2067; Barrois 78)",parchment,75,folios,2 and 1,34,,19th-c. calfskin,,13,58,s. xii1,12,12,1101,1150,Belgium,Tournai,Abbey of St. Martin (OSB),,7/24/2012 18:52:26,4,0,"New Haven, Yale University, Beinecke Library, 1075 (olim Phillipps 2067; Barrois 78) (s. xii1, Tournai).",,1075,(olim Phillipps 2067; Barrois 78),1075 (olim Phillipps 2067; Barrois 78),"65, 78, 82, 157","Knibbs 2008, 136-37.",Belgium; Tournai; Abbey of St. Martin (OSB); Tournai; Tournai; Tournai; Tournai
750,Comm.Sam.,,,49,82,,"Cambridge, Trinity College, 82",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Cambridge, Trinity College, 82 (s. xii).",,82,,82,65,,
752,Comm.Sam.,,,10,Add. 26714,,"London, British Library, Add. 26714",,,,,,,,,13,70,s. xiii (1),13,13,1201,1250,,,,,7/20/2012 14:13:21,1,0,"London, British Library, Add. 26714 (s. xiii1).",Add.,26714,,Add. 26714,65,,
753,Comm.Sam.,,,191,449,,"Lyons, Bibliothèque municipale, 449",,fols. 1-94v,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 12:10:49,1,0,"Lyons, Bibliothèque municipale, 449 (s. ix1).",,449,,449,65,,Chapter library
754,Comm.Sam.,,,66,M 335,,"New York, Morgan Library and Museum, M 335",,,,,,,,,9,19,s. ix,9,9,801,900,France,Tours or St-Germain?,,,7/20/2012 14:13:24,1,0,"New York, Morgan Library and Museum, M 335 (s. ix, Tours or St-Germain?).",M,335,,M 335,65,"Bischoff, Kat., no. 3614.",France; Tours or St-Germain?
756,Comm.Sam.,,,81,lat. 12272,,"Paris, Bibliothèque nationale de France, lat. 12272",,,,,,,,,9,31,s. x,10,10,901,1000,,,,,7/20/2012 14:13:25,1,0,"Paris, Bibliothèque nationale de France, lat. 12272 (s. x).",lat.,12272,,lat. 12272,66,"Bischoff, Kat., [vol. 3].",Corbie
757,Comm.Sam.,,,211,136,,"Salisbury, Cathedral Library, 136",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Salisbury, Cathedral Library, 136 (s. xii).",,136,,136,66,,
758,Comm.Cant.,,,3,106,,"Aberdeen, University Library, 106",,,,,,,,,12,56,s. xii (in),12,12,1101,1125,,,,,7/20/2012 12:10:49,1,0,"Aberdeen, University Library, 106 (s. xiiin).",,106,,106,66,,S. Italy
760,Comm.Cant.,,,9,45,,"Arras, Bibliothèque municipale, 45",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Arras, Bibliothèque municipale, 45 (s. xii).",,45,,45,66,,St Vaast
761,Comm.Cant.,,,9,322,,"Arras, Bibliothèque municipale, 322",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 12:10:49,1,0,"Arras, Bibliothèque municipale, 322 (s. xi).",,322,,322,66,,St Vaast
762,Comm.Cant.,,,22,Ripoll 116,,"Barcelona, Archivo de la Corona de Aragón, Ripoll 116",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 13:44:53,1,0,"Barcelona, Archivo de la Corona de Aragón, Ripoll 116 (s. xi).",Ripoll,116,,Ripoll 116,67,,Ripoll
763,Comm.Cant.,,,24,55,,"Bayeux, Bibliothèque du chaiptre, 55",,fols. 1-62v,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Bayeux, Bibliothèque du chaiptre, 55 (s. xii).",,55,,55,67,,
764,Comm.Cant.,,,148,4 (347),,"Caen, Bibliothèque municipale, 4 (347)",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:17,1,0,"Caen, Bibliothèque municipale, 4 (347) (s. xii).",,4,(347),4 (347),67,,
765,Comm.Cant.,,,149,489,,"Cambrai, Bibliothèque municipale, 489",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Cambrai, Bibliothèque municipale, 489 (s. xii).",,489,,489,67,,Chapter library
766,Comm.Cant.,,,149,569,,"Cambrai, Bibliothèque municipale, 569",,,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 12:10:49,1,0,"Cambrai, Bibliothèque municipale, 569 (s. ix).",,569,,569,67,"Bischoff, Kat., no. 802.",Chapter library
767,Comm.Cant.,,,42,Gg. 4. 25,,"Cambridge, University Library, Gg. 4. 25",,fols. 96.v-102,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 14:35:03,1,0,"Cambridge, University Library, Gg. 4. 25 (s. xv).",Gg. 4.,25,,Gg. 4. 25,67,,
768,Comm.Cant.,,,42,Mm. 3. 31,,"Cambridge, University Library, Mm. 3. 31",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:35:03,1,0,"Cambridge, University Library, Mm. 3. 31 (s. xii).",Mm. 3.,31,,Mm. 3. 31,67,,
770,Comm.Cant.,,,137,19,,"Cambridge, Kings College, 19",,,,,,,,,1213,66,s. xii-xiii,12,13,1176,1225,,,,,7/20/2012 12:10:49,1,0,"Cambridge, Kings College, 19 (s. xii-xiii).",,19,,19,67,,St Albans
771,Comm.Cant.,,,103,165,,"Charleville-Mézières, Bibliothèque municipale, 165",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Charleville-Mézières, Bibliothèque municipale, 165 (s. xii).",,165,,165,67,,Signy
772,Comm.Cant.,,,156,K 423,,"Cracow, Biblioteka Jagiellonska, K 423",,,,,,,,,15,99,s. xv (2),15,15,1451,1500,,,,,7/20/2012 14:13:18,1,0,"Cracow, Biblioteka Jagiellonska, K 423 (s. xv2).",K,423,,K 423,67,,
773,Comm.Cant.,,,51,324,,"Douai, Bibliothèque municipale, 324",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,1,0,"Douai, Bibliothèque municipale, 324 (s. xiii).",,324,,324,67,,Anchin
774,Comm.Cant.,,,167,39,,"Göttweig, Stiftsbibliothek, 39",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Göttweig, Stiftsbibliothek, 39 (s. xii).",,39,,39,67,,
777,Comm.Cant.,,,62,315,,"Leipzig, Universitätsbibliothek, 315",,fols. 19-70,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Leipzig, Universitätsbibliothek, 315 (s. xii).",,315,,315,67,,Altzelle
778,Comm.Cant.,,,174,20,,"Le Mans, Bibliothèque municipale, 20",,"fols, 1-115v",,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 12:10:49,1,0,"Le Mans, Bibliothèque municipale, 20 (s. xi).",,20,,20,67,,St Vincent
780,Comm.Cant.,,,181,165,,"Lincoln, Cathedral Library, 165",,,,,,,,,12,65,s. xii (ex),12,12,1176,1200,,,,,7/20/2012 12:10:49,1,0,"Lincoln, Cathedral Library, 165 (s. xiiex).",,165,,165,67,,
781,Comm.Cant.,,,10,Arundel 218,,"London, British Library, Arundel 218",,fols. 128-136,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:07:20,1,0,"London, British Library, Arundel 218 (s. xii).",Arundel,218,,Arundel 218,68,,Gisburne
783,Comm.Cant.,,,175,5,,"London, Gray’s Inn, 5",,,folios,,,,,,13,68,s. xiiiin,13,13,1201,1225,,,,,7/20/2012 12:10:49,1,0,"London, Gray’s Inn, 5 (s. xiiiin).",,5,,5,68,"Ker MMBL v. 1, 56.","Franciscans, Chester; Lindores"
784,Comm.Cant.,,,86,42,,"Monte Cassino, Archivio della badia, 42",,,,,,,,,11,44,s. xi (in),11,11,1001,1025,,,,,7/20/2012 12:10:49,1,0,"Monte Cassino, Archivio della badia, 42 (s. xiin).",,42,,42,68,,
785,Comm.Cant.,,,67,Clm 14143,,"Munich, Bayerische Staatsbibliothek, Clm 14143",,,,,,,,,10,42,s. x-xi,10,11,976,1025,Germany,St. Emmeram,,,7/20/2012 14:13:23,1,0,"Munich, Bayerische Staatsbibliothek, Clm 14143 (s. x-xi, St. Emmeram).",Clm,14143,,Clm 14143,68,"Bischoff, Kat., no. 3134.",Germany; St. Emmeram; St Emmeram
786,Comm.Cant.,,,67,Clm 14449,,"Munich, Bayerische Staatsbibliothek, Clm 14449",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:23,1,0,"Munich, Bayerische Staatsbibliothek, Clm 14449 (s. xii).",Clm,14449,,Clm 14449,68,,St Emmeram
787,Comm.Cant.,,,67,Clm 17067,,"Munich, Bayerische Staatsbibliothek, Clm 17067",,fols. 1-80,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:09:10,1,0,"Munich, Bayerische Staatsbibliothek, Clm 17067 (s. xii).",Clm,17067,,Clm 17067,68,,Scheftlarn
788,Comm.Cant.,,,70,Bodley 161,,"Oxford, Bodleian Library, Bodley 161",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:26:52,1,0,"Oxford, Bodleian Library, Bodley 161 (s. xii).",Bodley,161,,Bodley 161,68,,"Christ Church, Canterbury"
789,Comm.Cant.,,,70,e Museo 66,,"Oxford, Bodleian Library, e Museo 66",,,,,,,,,,,,,,,,,,,,7/20/2012 14:35:03,1,0,"Oxford, Bodleian Library, e Museo 66 ().",e Museo,66,,e Museo 66,68,,
790,Comm.Cant.,,,126,54,,"Oxford, Jesus College, 54",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 12:10:49,1,0,"Oxford, Jesus College, 54 (s. xi).",,54,,54,68,,
791,Comm.Cant.,,True,126,59,"Excluded by Ker 1947. Bible of s. xiii, not Bede.","Oxford, Jesus College, 59",,,,,,,,,11,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,1,,"Oxford, Jesus College, 59 (s. xiii).",,59,,59,68,,
792,Comm.Cant.,,,126,64,,"Oxford, Jesus College, 64",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Oxford, Jesus College, 64 (s. xii).",,64,,64,68,,
795,Comm.Cant.,,,78,42,,"Oxford, New College, 42",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 12:10:49,1,0,"Oxford, New College, 42 (s. xv).",,42,,42,68,,
796,Comm.Cant.,,,199,52,,"Oxford, Trinity College, 52",,,,,,,,,12,65,s. xii (ex),12,12,1176,1200,,,,,7/20/2012 12:10:49,1,0,"Oxford, Trinity College, 52 (s. xiiex).",,52,,52,68,,
798,Comm.Cant.,,,210,878,,"Padua, Biblioteca Universitaria, 878",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Padua, Biblioteca Universitaria, 878 (s. xii).",,878,,878,68,,
799,Comm.Cant.,,,81,lat. 130,,"Paris, Bibliothèque nationale de France, lat. 130",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:25,1,0,"Paris, Bibliothèque nationale de France, lat. 130 (s. xii).",lat.,130,,lat. 130,68,,
800,Comm.Cant.,,,81,lat. 485,,"Paris, Bibliothèque nationale de France, lat. 485",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 14:13:26,1,0,"Paris, Bibliothèque nationale de France, lat. 485 (s. xiii).",lat.,485,,lat. 485,68,,
803,Comm.Cant.,,,81,lat. 2349,,"Paris, Bibliothèque nationale de France, lat. 2349",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:13:26,1,0,"Paris, Bibliothèque nationale de France, lat. 2349 (s. xi).",lat.,2349,,lat. 2349,69,,
804,Comm.Cant.,,,81,lat. 9569,,"Paris, Bibliothèque nationale de France, lat. 9569",,,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 14:26:52,1,0,"Paris, Bibliothèque nationale de France, lat. 9569 (s. ix).",lat.,9569,,lat. 9569,69,"Bischoff, Kat., [vol. 3].",
805,Comm.Cant.,,,81,lat. 12276,,"Paris, Bibliothèque nationale de France, lat. 12276",,,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 14:13:25,1,0,"Paris, Bibliothèque nationale de France, lat. 12276 (s. ix).",lat.,12276,,lat. 12276,69,"Bischoff, Kat., [vol. 3].",Corbie
806,Comm.Cant.,,,81,lat. 12277,,"Paris, Bibliothèque nationale de France, lat. 12277",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:33:17,2,0,"Paris, Bibliothèque nationale de France, lat. 12277 (s. xii).",lat.,12277,,lat. 12277,"69, 85",,Corbie; St Germain
807,Comm.Cant.,,,81,lat. 14852,,"Paris, Bibliothèque nationale de France, lat. 14852",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:25,1,0,"Paris, Bibliothèque nationale de France, lat. 14852 (s. xii).",lat.,14852,,lat. 14852,69,,St Victor
808,Comm.Cant.,,,81,lat. 15037,,"Paris, Bibliothèque nationale de France, lat. 15037",,,,,,,,,1214,55,s. xii,12,14,1101,1400,,,,,7/20/2012 14:13:25,1,0,"Paris, Bibliothèque nationale de France, lat. 15037 (s. xii).",lat.,15037,,lat. 15037,69,,St Victor
809,Comm.Cant.,,,216,1135,,"Prague, Národní knihovna České republiky, 1135",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 12:10:49,2,0,"Prague, Národní knihovna České republiky, 1135 (s. xv).",,1135,,1135,"69, 77",,
810,Comm.Cant.,,,89,434,,"Reims, Bibliothèque municipale, 434",,,,,,,,,9,24,s. ixmed,9,9,845,882,,,,,7/20/2012 12:10:49,1,0,"Reims, Bibliothèque municipale, 434 (s. ixmed).",,434,,434,69,"Bischoff, Kat., [vol. 3].",Chapter library
811,Comm.Cant.,,,213,114,,"Saint-Omer, Bibliothèque municipale, 114",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,1,0,"Saint-Omer, Bibliothèque municipale, 114 (s. xiii).",,114,,114,69,,Clairmarais
812,Comm.Cant.,,,130,Theol. 2° 220,,"Stuttgart, Württembergische Landesbibliothek, Theol. 2° 220",,,,,,,,,1112,54,s. xi-xii,11,12,1076,1125,,,,,7/25/2012 14:32,1,0,"Stuttgart, Württembergische Landesbibliothek, Theol. 2° 220 (s. xi-xii).",Theol. 2°,220,,Theol. 2° 220,69,,Zwiefalten
813,Comm.Cant.,,,201,270,,"Tours, Bibliothèque municipale, 270",,fols. 81v-169,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Tours, Bibliothèque municipale, 270 (s. xii).",,270,,270,69,,St Martin
814,Comm.Cant.,,,185,654,,"Troyes, Bibliothèque municipale, 654",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Troyes, Bibliothèque municipale, 654 (s. xii).",,654,,654,69,,Clairvaux
